
        alt         XM         FN        SFC         WF

        alt         XM         FN        SFC         WF
     8333.3      0.375     33.607     13.819    0.46441
       8750      0.375     31.941     13.877    0.44326
     9166.7      0.375     30.329      13.94    0.42277
     9583.3      0.375      28.77     14.005    0.40294
      10000      0.375     27.264     14.075    0.38374
      10417      0.375     25.812     14.147    0.36517
      10833      0.375     24.414     14.222    0.34722
      11250      0.375     22.944     14.255    0.32707
      11667      0.375     21.482     14.258    0.30628
      12083      0.375     20.112     14.261    0.28681
      12500      0.375     18.829     14.264    0.26858
      12917      0.375     17.628     14.267    0.25151
      13333      0.375     16.504     14.271    0.23552
      13750      0.375      15.45     14.274    0.22055
      14167      0.375     14.464     14.279    0.20653
      14583      0.375     13.541     14.283     0.1934
      15000      0.375     12.676     14.288    0.18111
      15417      0.375     11.866     14.293     0.1696
      15833      0.375     11.108     14.299    0.15883
      16250      0.375     10.398     14.304    0.14873
      16667      0.375     9.7328      14.31    0.13928
      17083      0.375     9.1101     14.317    0.13043
      17500      0.375     8.5271     14.324    0.12214
      17917      0.375     7.9811     14.331    0.11438
      18333      0.375     7.4698     14.339    0.10711
      18750      0.375      6.991     14.348     0.1003
      19167      0.375     6.5426     14.357    0.09393
      19583      0.375     6.1227     14.366   0.087961
      20000      0.375     5.7296     14.376   0.082371
          0    0.38958     70.188     14.655     1.0286
     416.67    0.38958     69.412     14.331    0.99473
     833.33    0.38958     68.103      14.12    0.96164
       1250    0.38958     66.491     13.977    0.92931
     1666.7    0.38958      64.69     13.877    0.89773
     2083.3    0.38958     62.768     13.811     0.8669
       2500    0.38958     60.767     13.767    0.83659
     2916.7    0.38958     58.712     13.722    0.80563
     3333.3    0.38958     56.634     13.691    0.77537
       3750    0.38958      54.55     13.672     0.7458
     4166.7    0.38958     52.484      13.66    0.71693
     4583.3    0.38958     50.434     13.657    0.68876
       5000    0.38958     48.405     13.662    0.66129
     5416.7    0.38958     46.402     13.674    0.63451
     5833.3    0.38958     44.432     13.694    0.60843
       6250    0.38958     42.499     13.719    0.58305
     6666.7    0.38958     40.605     13.751    0.55836
     7083.3    0.38958     38.756     13.788    0.53436
       7500    0.38958     36.953     13.832    0.51112
     7916.7    0.38958     35.197     13.881    0.48856
     8333.3    0.38958     33.491     13.934    0.46667
       8750    0.38958     31.836     13.992    0.44543
     9166.7    0.38958     30.232     14.053    0.42486
     9583.3    0.38958     28.682     14.118    0.40493
      10000    0.38958     27.184     14.186    0.38565
      10417    0.38958      25.74     14.258      0.367
      10833    0.38958     24.347     14.333    0.34898
      11250    0.38958     22.883     14.366    0.32873
      11667    0.38958     21.424     14.369    0.30783
      12083    0.38958     20.058     14.372    0.28826
      12500    0.38958     18.779     14.375    0.26994
      12917    0.38958     17.581     14.378    0.25278
      13333    0.38958     16.459     14.382    0.23671
      13750    0.38958     15.409     14.385    0.22166
      14167    0.38958     14.425      14.39    0.20757
      14583    0.38958     13.504     14.394    0.19438
      15000    0.38958     12.642     14.399    0.18203
      15417    0.38958     11.834     14.404    0.17046
      15833    0.38958     11.078      14.41    0.15963
      16250    0.38958      10.37     14.416    0.14949
      16667    0.38958     9.7066     14.422    0.13999
      17083    0.38958     9.0856     14.428    0.13109
      17500    0.38958     8.5041     14.435    0.12276
      17917    0.38958     7.9595     14.443    0.11496
      18333    0.38958     7.4496     14.451    0.10765
      18750    0.38958     6.9721     14.459    0.10081
      19167    0.38958     6.5249     14.468   0.094405
      19583    0.38958     6.1062     14.478   0.088406
      20000    0.38958     5.7141     14.488   0.082788
          0    0.40417     69.377     14.886     1.0327
     416.67    0.40417     68.733      14.53    0.99873
     833.33    0.40417     67.512     14.301    0.96551
       1250    0.40417     65.966     14.145    0.93306
     1666.7    0.40417     64.219     14.036    0.90137
     2083.3    0.40417     62.342     13.962    0.87042
       2500    0.40417     60.382     13.915    0.84021
     2916.7    0.40417     58.363     13.867    0.80929
     3333.3    0.40417     56.316     13.831    0.77892
       3750    0.40417      54.26     13.809    0.74925
     4166.7    0.40417     52.218     13.794    0.72028
     4583.3    0.40417     50.191     13.787      0.692
       5000    0.40417     48.183      13.79    0.66443
     5416.7    0.40417       46.2       13.8    0.63756
     5833.3    0.40417     44.247     13.817    0.61138
       6250    0.40417      42.33     13.841    0.58589
     6666.7    0.40417     40.452     13.871     0.5611
     7083.3    0.40417     38.616     13.906      0.537
       7500    0.40417     36.825     13.949    0.51365
     7916.7    0.40417     35.081     13.996      0.491
     8333.3    0.40417     33.385     14.049    0.46901
       8750    0.40417     31.739     14.105    0.44769
     9166.7    0.40417     30.145     14.166    0.42702
     9583.3    0.40417     28.602      14.23    0.40701
      10000    0.40417     27.112     14.298    0.38764
      10417    0.40417     25.674     14.369    0.36891
      10833    0.40417     24.288     14.444     0.3508
      11250    0.40417     22.828     14.476    0.33045
      11667    0.40417     21.373     14.479    0.30945
      12083    0.40417      20.01     14.482    0.28978
      12500    0.40417     18.734     14.485    0.27136
      12917    0.40417     17.539     14.488    0.25411
      13333    0.40417      16.42     14.492    0.23795
      13750    0.40417     15.372     14.496    0.22283
      14167    0.40417     14.391       14.5    0.20866
      14583    0.40417     13.472     14.505     0.1954
      15000    0.40417     12.611     14.509    0.18298
      15417    0.40417     11.806     14.515    0.17136
      15833    0.40417     11.051      14.52    0.16047
      16250    0.40417     10.345     14.526    0.15027
      16667    0.40417     9.6831     14.532    0.14072
      17083    0.40417     9.0636     14.539    0.13178
      17500    0.40417     8.4835     14.546     0.1234
      17917    0.40417     7.9403     14.554    0.11556
      18333    0.40417     7.4315     14.562    0.10822
      18750    0.40417     6.9552      14.57    0.10134
      19167    0.40417     6.5091      14.58     0.0949
      19583    0.40417     6.0914     14.589   0.088869
      20000    0.40417     5.7002       14.6   0.083222
          0    0.41875     68.555     15.127      1.037
     416.67    0.41875     68.056     14.736     1.0029
     833.33    0.41875     66.926     14.487    0.96954
       1250    0.41875      65.45     14.316    0.93696
     1666.7    0.41875     63.758     14.197    0.90514
     2083.3    0.41875     61.928     14.114    0.87407
       2500    0.41875     60.008      14.06    0.84374
     2916.7    0.41875     58.026     14.012    0.81308
     3333.3    0.41875      56.01     13.973    0.78261
       3750    0.41875     53.982     13.946    0.75283
     4166.7    0.41875     51.964     13.928    0.72375
     4583.3    0.41875      49.96     13.919    0.69537
       5000    0.41875     47.973     13.918    0.66769
     5416.7    0.41875     46.009     13.926    0.64071
     5833.3    0.41875     44.074     13.941    0.61443
       6250    0.41875     42.172     13.963    0.58884
     6666.7    0.41875     40.308     13.991    0.56395
     7083.3    0.41875     38.485     14.025    0.53975
       7500    0.41875     36.706     14.065    0.51628
     7916.7    0.41875     34.973     14.112    0.49353
     8333.3    0.41875     33.288     14.163    0.47145
       8750    0.41875     31.651     14.218    0.45003
     9166.7    0.41875     30.065     14.278    0.42927
     9583.3    0.41875      28.53     14.342    0.40917
      10000    0.41875     27.047     14.409    0.38971
      10417    0.41875     25.615     14.479    0.37089
      10833    0.41875     24.235     14.553     0.3527
      11250    0.41875     22.779     14.585    0.33224
      11667    0.41875     21.327     14.588    0.31112
      12083    0.41875     19.967     14.591    0.29135
      12500    0.41875     18.694     14.595    0.27283
      12917    0.41875     17.501     14.598    0.25548
      13333    0.41875     16.385     14.602    0.23924
      13750    0.41875     15.339     14.606    0.22403
      14167    0.41875      14.36      14.61    0.20979
      14583    0.41875     13.443     14.614    0.19646
      15000    0.41875     12.584     14.619    0.18397
      15417    0.41875      11.78     14.625    0.17228
      15833    0.41875     11.028      14.63    0.16134
      16250    0.41875     10.323     14.636    0.15108
      16667    0.41875     9.6624     14.643    0.14148
      17083    0.41875     9.0442     14.649    0.13249
      17500    0.41875     8.4653     14.656    0.12407
      17917    0.41875     7.9232     14.664    0.11619
      18333    0.41875     7.4156     14.672     0.1088
      18750    0.41875     6.9402     14.681    0.10189
      19167    0.41875     6.4951      14.69   0.095414
      19583    0.41875     6.0782       14.7    0.08935
      20000    0.41875     5.6879     14.711   0.083672
          0    0.43333     67.715      15.38     1.0414
     416.67    0.43333     67.377     14.949     1.0072
     833.33    0.43333     66.346     14.676    0.97371
       1250    0.43333     64.941      14.49    0.94101
     1666.7    0.43333     63.307      14.36    0.90906
     2083.3    0.43333     61.524     14.268    0.87786
       2500    0.43333     59.646     14.207    0.84741
     2916.7    0.43333     57.701     14.159    0.81701
     3333.3    0.43333     55.716     14.115    0.78643
       3750    0.43333     53.716     14.084    0.75654
     4166.7    0.43333     51.722     14.063    0.72735
     4583.3    0.43333      49.74      14.05    0.69886
       5000    0.43333     47.774     14.047    0.67107
     5416.7    0.43333     45.829     14.052    0.64399
     5833.3    0.43333     43.911     14.065    0.61759
       6250    0.43333     42.025     14.085     0.5919
     6666.7    0.43333     40.175     14.111     0.5669
     7083.3    0.43333     38.365     14.143    0.54259
       7500    0.43333     36.597     14.182      0.519
     7916.7    0.43333     34.875     14.227    0.49615
     8333.3    0.43333     33.199     14.277    0.47397
       8750    0.43333     31.572     14.331    0.45246
     9166.7    0.43333     29.993      14.39     0.4316
     9583.3    0.43333     28.465     14.453    0.41141
      10000    0.43333     26.989     14.519    0.39186
      10417    0.43333     25.563     14.589    0.37295
      10833    0.43333     24.189     14.662    0.35467
      11250    0.43333     22.737     14.694     0.3341
      11667    0.43333     21.287     14.697    0.31286
      12083    0.43333      19.93       14.7    0.29297
      12500    0.43333     18.659     14.704    0.27435
      12917    0.43333     17.468     14.707    0.25691
      13333    0.43333     16.354     14.711    0.24058
      13750    0.43333      15.31     14.715    0.22529
      14167    0.43333     14.333     14.719    0.21096
      14583    0.43333     13.418     14.724    0.19756
      15000    0.43333     12.561     14.729      0.185
      15417    0.43333     11.758     14.734    0.17325
      15833    0.43333     11.007      14.74    0.16224
      16250    0.43333     10.303     14.746    0.15193
      16667    0.43333     9.6442     14.752    0.14227
      17083    0.43333     9.0272     14.759    0.13323
      17500    0.43333     8.4494     14.766    0.12476
      17917    0.43333     7.9083     14.774    0.11684
      18333    0.43333     7.4016     14.782    0.10941
      18750    0.43333     6.9271     14.791    0.10246
      19167    0.43333     6.4828       14.8   0.095947
      19583    0.43333     6.0667      14.81    0.08985
      20000    0.43333     5.6771     14.821    0.08414
          0    0.44792     66.853     15.647      1.046
     416.67    0.44792     66.695     15.168     1.0117
     833.33    0.44792     65.769     14.871    0.97804
       1250    0.44792     64.439     14.668    0.94519
     1666.7    0.44792     62.864     14.525    0.91311
     2083.3    0.44792      61.13     14.425    0.88178
       2500    0.44792     59.293     14.356     0.8512
     2916.7    0.44792     57.387     14.308    0.82107
     3333.3    0.44792     55.433     14.258    0.79038
       3750    0.44792     53.461     14.223    0.76038
     4166.7    0.44792     51.491     14.198    0.73107
     4583.3    0.44792     49.532     14.182    0.70247
       5000    0.44792     47.586     14.176    0.67457
     5416.7    0.44792      45.66     14.178    0.64737
     5833.3    0.44792     43.758     14.189    0.62087
       6250    0.44792     41.887     14.206    0.59506
     6666.7    0.44792     40.051     14.231    0.56996
     7083.3    0.44792     38.254     14.261    0.54554
       7500    0.44792     36.497     14.298    0.52183
     7916.7    0.44792     34.785     14.341    0.49887
     8333.3    0.44792     33.119      14.39    0.47659
       8750    0.44792       31.5     14.444    0.45498
     9166.7    0.44792     29.929     14.501    0.43402
     9583.3    0.44792     28.408     14.563    0.41372
      10000    0.44792     26.938     14.629    0.39408
      10417    0.44792     25.518     14.698    0.37508
      10833    0.44792     24.149     14.771    0.35671
      11250    0.44792       22.7     14.803    0.33603
      11667    0.44792     21.253     14.806    0.31467
      12083    0.44792     19.898     14.809    0.29466
      12500    0.44792     18.629     14.812    0.27593
      12917    0.44792      17.44     14.816    0.25839
      13333    0.44792     16.328     14.819    0.24196
      13750    0.44792     15.286     14.823    0.22658
      14167    0.44792      14.31     14.827    0.21218
      14583    0.44792     13.396     14.832    0.19869
      15000    0.44792     12.541     14.837    0.18607
      15417    0.44792     11.739     14.843    0.17424
      15833    0.44792     10.989     14.848    0.16317
      16250    0.44792     10.287     14.854     0.1528
      16667    0.44792     9.6287     14.861    0.14309
      17083    0.44792     9.0126     14.868      0.134
      17500    0.44792     8.4357     14.875    0.12548
      17917    0.44792     7.8955     14.883    0.11751
      18333    0.44792     7.3896     14.891    0.11004
      18750    0.44792     6.9159       14.9    0.10305
      19167    0.44792     6.4723      14.91   0.096499
      19583    0.44792     6.0569      14.92   0.090367
      20000    0.44792     5.6679      14.93   0.084624
          0     0.4625     65.961     15.931     1.0508
     416.67     0.4625     66.005     15.397     1.0163
     833.33     0.4625     65.192     15.071    0.98251
       1250     0.4625     63.942      14.85    0.94952
     1666.7     0.4625     62.428     14.694    0.91731
     2083.3     0.4625     60.744     14.583    0.88584
       2500     0.4625      58.95     14.506    0.85513
     2916.7     0.4625     57.082     14.456    0.82516
     3333.3     0.4625     55.161     14.403    0.79445
       3750     0.4625     53.216     14.363    0.76434
     4166.7     0.4625      51.27     14.334    0.73492
     4583.3     0.4625     49.334     14.315     0.7062
       5000     0.4625     47.408     14.305    0.67818
     5416.7     0.4625       45.5     14.305    0.65087
     5833.3     0.4625     43.616     14.313    0.62426
       6250     0.4625      41.76     14.328    0.59834
     6666.7     0.4625     39.937      14.35    0.57312
     7083.3     0.4625     38.152     14.379    0.54859
       7500     0.4625     36.407     14.414    0.52476
     7916.7     0.4625     34.705     14.456    0.50168
     8333.3     0.4625     33.048     14.503     0.4793
       8750     0.4625     31.437     14.556    0.45758
     9166.7     0.4625     29.873     14.612    0.43652
     9583.3     0.4625     28.359     14.674    0.41612
      10000     0.4625     26.894     14.738    0.39638
      10417     0.4625      25.48     14.807    0.37728
      10833     0.4625     24.115     14.879    0.35881
      11250     0.4625      22.67     14.911    0.33802
      11667     0.4625     21.225     14.913    0.31653
      12083     0.4625     19.871     14.917    0.29641
      12500     0.4625     18.604      14.92    0.27757
      12917     0.4625     17.417     14.923    0.25992
      13333     0.4625     16.306     14.927     0.2434
      13750     0.4625     15.265     14.931    0.22793
      14167     0.4625     14.291     14.935    0.21344
      14583     0.4625     13.378      14.94    0.19987
      15000     0.4625     12.524     14.945    0.18717
      15417     0.4625     11.724     14.951    0.17528
      15833     0.4625     10.974     14.957    0.16414
      16250     0.4625     10.273     14.963    0.15371
      16667     0.4625     9.6157     14.969    0.14394
      17083     0.4625     9.0005     14.976    0.13479
      17500     0.4625     8.4243     14.984    0.12623
      17917     0.4625     7.8848     14.991     0.1182
      18333     0.4625     7.3796         15    0.11069
      18750     0.4625     6.9066     15.009    0.10366
      19167     0.4625     6.4635     15.018   0.097071
      19583     0.4625     6.0487     15.028   0.090903
      20000     0.4625     5.6602     15.039   0.085126
          0    0.47708     65.027     16.235     1.0557
     416.67    0.47708     65.305     15.635      1.021
     833.33    0.47708     64.615     15.277    0.98713
       1250    0.47708     63.448     15.036      0.954
     1666.7    0.47708     61.998     14.866    0.92164
     2083.3    0.47708     60.366     14.744    0.89004
       2500    0.47708     58.615     14.658    0.85919
     2916.7    0.47708     56.784     14.601    0.82909
     3333.3    0.47708     54.898     14.548    0.79866
       3750    0.47708     52.982     14.504    0.76843
     4166.7    0.47708      51.06     14.471    0.73889
     4583.3    0.47708     49.146     14.448    0.71006
       5000    0.47708      47.24     14.435    0.68192
     5416.7    0.47708     45.351     14.432    0.65449
     5833.3    0.47708     43.483     14.437    0.62776
       6250    0.47708     41.642      14.45    0.60172
     6666.7    0.47708     39.832      14.47    0.57638
     7083.3    0.47708     38.059     14.497    0.55174
       7500    0.47708     36.325      14.53     0.5278
     7916.7    0.47708     34.632      14.57    0.50459
     8333.3    0.47708     32.984     14.616    0.48209
       8750    0.47708     31.381     14.667    0.46027
     9166.7    0.47708     29.825     14.723    0.43911
     9583.3    0.47708     28.316     14.783    0.41861
      10000    0.47708     26.857     14.847    0.39876
      10417    0.47708     25.448     14.915    0.37956
      10833    0.47708     24.088     14.986      0.361
      11250    0.47708     22.645     15.018    0.34008
      11667    0.47708     21.202     15.021    0.31846
      12083    0.47708      19.85     15.024    0.29822
      12500    0.47708     18.584     15.027    0.27926
      12917    0.47708     17.398     15.031    0.26151
      13333    0.47708     16.288     15.035    0.24488
      13750    0.47708     15.249     15.039    0.22932
      14167    0.47708     14.275     15.043    0.21474
      14583    0.47708     13.364     15.048    0.20109
      15000    0.47708      12.51     15.053    0.18831
      15417    0.47708     11.711     15.058    0.17634
      15833    0.47708     10.962     15.064    0.16514
      16250    0.47708     10.261      15.07    0.15464
      16667    0.47708     9.6052     15.077    0.14482
      17083    0.47708     8.9906     15.084    0.13561
      17500    0.47708     8.4151     15.091      0.127
      17917    0.47708     7.8762     15.099    0.11892
      18333    0.47708     7.3715     15.108    0.11137
      18750    0.47708      6.899     15.117    0.10429
      19167    0.47708     6.4564     15.126   0.097663
      19583    0.47708      6.042     15.137   0.091456
      20000    0.47708      5.654     15.148   0.085645
          0    0.49167     64.036     16.566     1.0608
     416.67    0.49167     64.589     15.884      1.026
     833.33    0.49167     64.034      15.49     0.9919
       1250    0.49167     62.956     15.227    0.95862
     1666.7    0.49167     61.573     15.041    0.92612
     2083.3    0.49167     59.995     14.907    0.89437
       2500    0.49167     58.288     14.812    0.86338
     2916.7    0.49167     56.496     14.747    0.83314
     3333.3    0.49167     54.645     14.695      0.803
       3750    0.49167     52.757     14.646    0.77265
     4166.7    0.49167     50.858     14.609    0.74299
     4583.3    0.49167     48.968     14.582    0.71403
       5000    0.49167     47.082     14.565    0.68577
     5416.7    0.49167     45.211     14.559    0.65822
     5833.3    0.49167     43.359     14.561    0.63137
       6250    0.49167     41.533     14.572    0.60521
     6666.7    0.49167     39.737      14.59    0.57975
     7083.3    0.49167     37.975     14.615      0.555
       7500    0.49167     36.251     14.646    0.53093
     7916.7    0.49167     34.568     14.684    0.50759
     8333.3    0.49167     32.928     14.729    0.48498
       8750    0.49167     31.333     14.778    0.46305
     9166.7    0.49167     29.783     14.833    0.44178
     9583.3    0.49167     28.281     14.892    0.42117
      10000    0.49167     26.827     14.956    0.40122
      10417    0.49167     25.423     15.022    0.38191
      10833    0.49167     24.067     15.093    0.36325
      11250    0.49167     22.626     15.124    0.34221
      11667    0.49167     21.184     15.127    0.32045
      12083    0.49167     19.833      15.13    0.30008
      12500    0.49167     18.568     15.134    0.28101
      12917    0.49167     17.384     15.137    0.26314
      13333    0.49167     16.274     15.141    0.24642
      13750    0.49167     15.236     15.145    0.23075
      14167    0.49167     14.263      15.15    0.21608
      14583    0.49167     13.352     15.154    0.20235
      15000    0.49167       12.5      15.16    0.18949
      15417    0.49167     11.701     15.165    0.17745
      15833    0.49167     10.953     15.171    0.16617
      16250    0.49167     10.253     15.177    0.15561
      16667    0.49167     9.5972     15.184    0.14572
      17083    0.49167     8.9831     15.191    0.13646
      17500    0.49167     8.4081     15.199    0.12779
      17917    0.49167     7.8696     15.207    0.11967
      18333    0.49167     7.3653     15.215    0.11206
      18750    0.49167     6.8932     15.224    0.10494
      19167    0.49167      6.451     15.234   0.098274
      19583    0.49167     6.0369     15.244   0.092029
      20000    0.49167     5.6492     15.255   0.086181
          0    0.50625     62.968      16.93      1.066
     416.67    0.50625     63.855     16.147      1.031
     833.33    0.50625     63.447     15.711    0.99682
       1250    0.50625     62.465     15.423    0.96339
     1666.7    0.50625     61.152      15.22    0.93074
     2083.3    0.50625     59.629     15.074    0.89884
       2500    0.50625     57.968     14.969    0.86771
     2916.7    0.50625     56.215     14.895    0.83732
     3333.3    0.50625     54.399     14.843    0.80748
       3750    0.50625     52.541     14.789      0.777
     4166.7    0.50625     50.666     14.748    0.74721
     4583.3    0.50625     48.798     14.716    0.71813
       5000    0.50625     46.933     14.696    0.68974
     5416.7    0.50625      45.08     14.686    0.66206
     5833.3    0.50625     43.245     14.686    0.63509
       6250    0.50625     41.433     14.694    0.60881
     6666.7    0.50625     39.649      14.71    0.58323
     7083.3    0.50625     37.899     14.733    0.55835
       7500    0.50625     36.185     14.762    0.53417
     7916.7    0.50625     34.511     14.798    0.51069
     8333.3    0.50625      32.88     14.841    0.48796
       8750    0.50625     31.292     14.889    0.46591
     9166.7    0.50625     29.749     14.943    0.44453
     9583.3    0.50625     28.252     15.001    0.42381
      10000    0.50625     26.804     15.063    0.40375
      10417    0.50625     25.404     15.129    0.38435
      10833    0.50625     24.052     15.199    0.36558
      11250    0.50625     22.613      15.23    0.34441
      11667    0.50625     21.172     15.233    0.32251
      12083    0.50625     19.822     15.237    0.30201
      12500    0.50625     18.557      15.24    0.28281
      12917    0.50625     17.374     15.244    0.26483
      13333    0.50625     16.265     15.247      0.248
      13750    0.50625     15.227     15.252    0.23223
      14167    0.50625     14.255     15.256    0.21747
      14583    0.50625     13.345     15.261    0.20365
      15000    0.50625     12.492     15.266    0.19071
      15417    0.50625     11.694     15.271    0.17859
      15833    0.50625     10.947     15.277    0.16724
      16250    0.50625     10.247     15.284    0.15661
      16667    0.50625     9.5915      15.29    0.14666
      17083    0.50625     8.9778     15.298    0.13734
      17500    0.50625     8.4031     15.305    0.12861
      17917    0.50625     7.8649     15.313    0.12044
      18333    0.50625      7.361     15.322    0.11278
      18750    0.50625     6.8891     15.331    0.10562
      19167    0.50625     6.4472     15.341   0.098905
      19583    0.50625     6.0333     15.351    0.09262
      20000    0.50625     5.6458     15.362   0.086734
          0    0.52083     61.786     17.341     1.0714
     416.67    0.52083     63.095     16.424     1.0363
     833.33    0.52083     62.852     15.941     1.0019
       1250    0.52083     61.972     15.625    0.96831
     1666.7    0.52083     60.733     15.403     0.9355
     2083.3    0.52083     59.268     15.243    0.90345
       2500    0.52083     57.655     15.127    0.87217
     2916.7    0.52083     55.941     15.045    0.84164
     3333.3    0.52083     54.161      14.99    0.81185
       3750    0.52083     52.333     14.933    0.78147
     4166.7    0.52083     50.483     14.887    0.75156
     4583.3    0.52083     48.638     14.852    0.72235
       5000    0.52083     46.793     14.828    0.69383
     5416.7    0.52083     44.958     14.814    0.66602
     5833.3    0.52083     43.139     14.811    0.63892
       6250    0.52083     41.341     14.816    0.61252
     6666.7    0.52083     39.571      14.83    0.58681
     7083.3    0.52083     37.832      14.85    0.56181
       7500    0.52083     36.128     14.878     0.5375
     7916.7    0.52083     34.463     14.911    0.51389
     8333.3    0.52083     32.839     14.953    0.49104
       8750    0.52083     31.258         15    0.46887
     9166.7    0.52083     29.722     15.052    0.44737
     9583.3    0.52083     28.231     15.109    0.42654
      10000    0.52083     26.787     15.171    0.40637
      10417    0.52083     25.391     15.236    0.38685
      10833    0.52083     24.043     15.305    0.36798
      11250    0.52083     22.606     15.336    0.34667
      11667    0.52083     21.164     15.339    0.32464
      12083    0.52083     19.815     15.342      0.304
      12500    0.52083     18.551     15.345    0.28467
      12917    0.52083     17.368     15.349    0.26658
      13333    0.52083      16.26     15.353    0.24963
      13750    0.52083     15.222     15.357    0.23376
      14167    0.52083      14.25     15.362     0.2189
      14583    0.52083      13.34     15.366    0.20499
      15000    0.52083     12.488     15.372    0.19196
      15417    0.52083      11.69     15.377    0.17976
      15833    0.52083     10.943     15.383    0.16834
      16250    0.52083     10.243      15.39    0.15764
      16667    0.52083     9.5882     15.396    0.14762
      17083    0.52083     8.9747     15.403    0.13824
      17500    0.52083     8.4002     15.411    0.12946
      17917    0.52083     7.8622     15.419    0.12123
      18333    0.52083     7.3584     15.428    0.11353
      18750    0.52083     6.8867     15.437    0.10631
      19167    0.52083     6.4449     15.447   0.099556
      19583    0.52083     6.0312     15.458   0.093229
      20000    0.52083     5.6438     15.469   0.087305
          0    0.53542     60.427     17.823      1.077
     416.67    0.53542     62.303     16.719     1.0417
     833.33    0.53542     62.245      16.18     1.0071
       1250    0.53542     61.475     15.834    0.97337
     1666.7    0.53542     60.315     15.591     0.9404
     2083.3    0.53542     58.911     15.417     0.9082
       2500    0.53542     57.346     15.289    0.87676
     2916.7    0.53542     55.673     15.197    0.84608
     3333.3    0.53542     53.928     15.134    0.81614
       3750    0.53542     52.132     15.078    0.78607
     4166.7    0.53542     50.308     15.028    0.75603
     4583.3    0.53542     48.485     14.988    0.72669
       5000    0.53542     46.661      14.96    0.69804
     5416.7    0.53542     44.844     14.943     0.6701
     5833.3    0.53542     43.041     14.936    0.64287
       6250    0.53542     41.258     14.939    0.61634
     6666.7    0.53542       39.5      14.95     0.5905
     7083.3    0.53542     37.772     14.968    0.56537
       7500    0.53542     36.078     14.993    0.54094
     7916.7    0.53542     34.422     15.025     0.5172
     8333.3    0.53542     32.806     15.064     0.4942
       8750    0.53542     31.232      15.11    0.47191
     9166.7    0.53542     29.701     15.161     0.4503
     9583.3    0.53542     28.215     15.217    0.42935
      10000    0.53542     26.776     15.277    0.40907
      10417    0.53542     25.384     15.342    0.38943
      10833    0.53542     24.039      15.41    0.37045
      11250    0.53542     22.604     15.441    0.34901
      11667    0.53542     21.162     15.444    0.32683
      12083    0.53542     19.813     15.447    0.30605
      12500    0.53542     18.549      15.45    0.28659
      12917    0.53542     17.366     15.454    0.26838
      13333    0.53542     16.258     15.458    0.25131
      13750    0.53542      15.22     15.462    0.23534
      14167    0.53542     14.249     15.467    0.22038
      14583    0.53542     13.339     15.471    0.20637
      15000    0.53542     12.487     15.477    0.19325
      15417    0.53542     11.689     15.482    0.18097
      15833    0.53542     10.942     15.488    0.16947
      16250    0.53542     10.242     15.495     0.1587
      16667    0.53542     9.5873     15.502    0.14862
      17083    0.53542     8.9738     15.509    0.13917
      17500    0.53542     8.3993     15.517    0.13033
      17917    0.53542     7.8614     15.525    0.12205
      18333    0.53542     7.3577     15.534    0.11429
      18750    0.53542      6.886     15.543    0.10703
      19167    0.53542     6.4442     15.553    0.10023
      19583    0.53542     6.0306     15.564   0.093857
      20000    0.53542     5.6432     15.575   0.087893
          0       0.55     58.732     18.435     1.0827
     416.67       0.55     61.468     17.037     1.0472
     833.33       0.55     61.622     16.431     1.0125
       1250       0.55     60.973     16.049    0.97858
     1666.7       0.55     59.896     15.785    0.94545
     2083.3       0.55     58.555     15.594    0.91309
       2500       0.55     57.041     15.454    0.88149
     2916.7       0.55     55.411     15.352    0.85065
     3333.3       0.55     53.702      15.28    0.82056
       3750       0.55     51.939     15.226     0.7908
     4166.7       0.55     50.141      15.17    0.76062
     4583.3       0.55      48.34     15.125    0.73115
       5000       0.55     46.537     15.093    0.70237
     5416.7       0.55     44.738     15.072    0.67429
     5833.3       0.55     42.951     15.062    0.64693
       6250       0.55     41.182     15.061    0.62026
     6666.7       0.55     39.437      15.07     0.5943
     7083.3       0.55      37.72     15.086    0.56903
       7500       0.55     36.036     15.109    0.54447
     7916.7       0.55     34.388     15.139     0.5206
     8333.3       0.55     32.779     15.176    0.49746
       8750       0.55     31.212      15.22    0.47505
     9166.7       0.55     29.687      15.27    0.45331
     9583.3       0.55     28.207     15.324    0.43225
      10000       0.55     26.771     15.384    0.41184
      10417       0.55     25.383     15.447     0.3921
      10833       0.55     24.042     15.515      0.373
      11250       0.55     22.607     15.545    0.35142
      11667       0.55     21.165     15.548    0.32908
      12083       0.55     19.816     15.551    0.30816
      12500       0.55     18.552     15.555    0.28857
      12917       0.55     17.368     15.558    0.27023
      13333       0.55      16.26     15.562    0.25305
      13750       0.55     15.222     15.567    0.23696
      14167       0.55     14.251     15.571     0.2219
      14583       0.55     13.341     15.576    0.20779
      15000       0.55     12.489     15.581    0.19459
      15417       0.55     11.691     15.587    0.18222
      15833       0.55     10.943     15.593    0.17064
      16250       0.55     10.244     15.599     0.1598
      16667       0.55     9.5885     15.606    0.14964
      17083       0.55      8.975     15.614    0.14013
      17500       0.55     8.4005     15.621    0.13123
      17917       0.55     7.8625      15.63    0.12289
      18333       0.55     7.3586     15.639    0.11508
      18750       0.55     6.8869     15.648    0.10777
      19167       0.55     6.4451     15.658    0.10092
      19583       0.55     6.0314     15.669   0.094504
      20000       0.55      5.644      15.68   0.088499
          0    0.56458     55.769      19.52     1.0886
