
        alt         XM         FN        SFC         WF

        alt         XM         FN        SFC         WF
      17917    0.22917     8.3296     13.187    0.10984
      18333    0.22917     7.7962     13.194    0.10286
      18750    0.22917     7.2966     13.201   0.096326
      19167    0.22917     6.8289     13.209   0.090205
      19583    0.22917     6.3908     13.218   0.084472
      20000    0.22917     5.9806     13.227   0.079104
          0    0.24375     78.386     12.704    0.99582
     416.67    0.24375     76.661     12.561    0.96297
     833.33    0.24375     74.648      12.47    0.93086
       1250    0.24375      72.46     12.414     0.8995
     1666.7    0.24375     70.167     12.383    0.86888
     2083.3    0.24375     67.803     12.351    0.83742
       2500    0.24375     65.408     12.332     0.8066
     2916.7    0.24375     63.005     12.324    0.77647
     3333.3    0.24375      60.61     12.325    0.74704
       3750    0.24375     58.241     12.333    0.71831
     4166.7    0.24375     55.908     12.347    0.69027
     4583.3    0.24375     53.608     12.366    0.66293
       5000    0.24375     51.347     12.392    0.63628
     5416.7    0.24375      49.13     12.423    0.61032
     5833.3    0.24375     46.961     12.458    0.58506
       6250    0.24375     44.843     12.499    0.56048
     6666.7    0.24375     42.778     12.545    0.53663
     7083.3    0.24375     40.769     12.595     0.5135
       7500    0.24375     38.817      12.65    0.49103
     7916.7    0.24375     36.923     12.708    0.46922
     8333.3    0.24375     35.088      12.77    0.44806
       8750    0.24375     33.313     12.835    0.42756
     9166.7    0.24375       31.6     12.902     0.4077
     9583.3    0.24375     29.945     12.973    0.38848
      10000    0.24375     28.351     13.047    0.36988
      10417    0.24375     26.817     13.123    0.35191
      10833    0.24375     25.342     13.201    0.33455
      11250    0.24375     23.808     13.235     0.3151
      11667    0.24375     22.291     13.238    0.29507
      12083    0.24375      20.87      13.24    0.27632
      12500    0.24375     19.539     13.243    0.25875
      12917    0.24375     18.293     13.246     0.2423
      13333    0.24375     17.126     13.249     0.2269
      13750    0.24375     16.033     13.253    0.21248
      14167    0.24375      15.01     13.256    0.19897
      14583    0.24375     14.052      13.26    0.18633
      15000    0.24375     13.154     13.265    0.17449
      15417    0.24375     12.314     13.269     0.1634
      15833    0.24375     11.527     13.274    0.15302
      16250    0.24375     10.791     13.279    0.14329
      16667    0.24375     10.101     13.285    0.13419
      17083    0.24375     9.4547     13.291    0.12566
      17500    0.24375     8.8497     13.297    0.11767
      17917    0.24375     8.2832     13.304     0.1102
      18333    0.24375     7.7527     13.311    0.10319
      18750    0.24375      7.256     13.318   0.096635
      19167    0.24375     6.7908     13.326   0.090494
      19583    0.24375     6.3552     13.335   0.084744
      20000    0.24375     5.9472     13.344   0.079358
          0    0.25833     77.524     12.879    0.99841
     416.67    0.25833     75.876     12.724    0.96547
     833.33    0.25833     73.924     12.625    0.93329
       1250    0.25833      71.79     12.562    0.90185
     1666.7    0.25833     69.544     12.527    0.87115
     2083.3    0.25833     67.224     12.493    0.83986
       2500    0.25833     64.868     12.471    0.80898
     2916.7    0.25833     62.501      12.46    0.77878
     3333.3    0.25833     60.139     12.459    0.74928
       3750    0.25833       57.8     12.465    0.72048
     4166.7    0.25833     55.496     12.476    0.69238
     4583.3    0.25833     53.223     12.494    0.66497
       5000    0.25833     50.987     12.518    0.63826
     5416.7    0.25833     48.794     12.547    0.61223
     5833.3    0.25833     46.647     12.582     0.5869
       6250    0.25833      44.55     12.621    0.56226
     6666.7    0.25833     42.504     12.665    0.53834
     7083.3    0.25833     40.514     12.715    0.51514
       7500    0.25833     38.579     12.769    0.49261
